uid,nivel_entidad,orden_entidad,tipo_contrato,nombre_entidad,dpto_entidad,munp_entidad,cuantia_contrato_reg,valor_adicion_reg,valor_total_reg,ruta_web,error_cuantia_proceso,tipo_error_proceso,error_cuantia_contrato,tipo_error_contrato,cuantia_contrato_real,error_adicion,tipo_error_adicion,valor_adicion_real,cuantia_proceso_real,cuantia_proceso_reg,moneda,tipo_consulta
15-12-4045116-3745590,TERRITORIAL,DISTRITO CAPITAL,Prestación de Servicios,BOGOTÁ D.C. - ALCALDÍA LOCAL DE SAN CRISTOBAL,Bogotá D.C.,Bogotá D.C.,1,,20000000000,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-12-4045116,0,,1,Agregación de ceros,20000000,0,,,1,,Pesos (COP),Ceros adicionales
16-12-5283365-4820011,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,Prestación de Servicios,SANTANDER - ALCALDÍA MUNICIPIO DE EL CARMEN DE CHUCURÍ,Santander,El Carmen de Chucurí,1,,11950000000,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=16-12-5283365 ,0,,1,Agregación de ceros,11950000,0,,,1,,Pesos (COP),Ceros adicionales
17-13-7271624-6631031,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 2,Suministro,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE SAN ANTONIO DEL TEQUENDAMA,Cundinamarca,San Antonio del Tequendama,1,,11964000000,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=17-13-7271624,0,,1,Agregación de ceros,11964000,0,,,1,,Pesos (COP),Ceros adicionales
19-9-460215-9160539,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 1,Compraventa,SANTANDER - ALCALDÍA MUNICIPIO DE BARRANCABERMEJA,Santander,Barrancabermeja,1,,11100000000,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-9-460215,0,,0,,,0,,,1,,Pesos (COP),Ceros adicionales
20-4-10487767-9610582,TERRITORIAL,TERRITORIAL DEPARTAMENTAL DESCENTRALIZADO,Prestación de Servicios,ANTIOQUIA - E.S.E. HOSPITAL SAN VICENTE DE PAÚL - REMEDIOS,Antioquia,Remedios,1,,23137000000,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-4-10487767,0,,1,Agregación de ceros,23137000,0,,,1,,Pesos (COP),Ceros adicionales
17-12-6434666-5851053,TERRITORIAL,DISTRITO CAPITAL,Prestación de Servicios,BOLÍVAR - ALCALDÍA DEL DISTRITO TURÍSTICO Y CULTURAL DE CARTAGENA DE INDIAS,Bolívar,Cartagena,1,,27500000000,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=17-12-6434666 ,0,,1,Agregación de ceros,27500000,0,,,1,,Pesos (COP),Ceros adicionales
14-12-3184987-2984147,TERRITORIAL,TERRITORIAL DEPARTAMENTAL CENTRALIZADO,Otro Tipo de Contrato,BOLÍVAR - GOBERNACIÓN,Bolívar,Cartagena,1,,30000000000,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=14-12-3184987 ,0,,0,,,0,,,1,,Pesos (COP),Ceros adicionales
15-4-3568302-3358675,TERRITORIAL,TERRITORIAL DEPARTAMENTAL DESCENTRALIZADO,Suministro,CÓRDOBA - E.S.E. HOSPITAL SAN VICENTE DE PAUL DE LORICA,Córdoba,Lorica,1,,17300000000,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-4-3568302,0,,1,Agregación de ceros,17300000,0,,,1,,Pesos (COP),Ceros adicionales
19-4-9858978-8985918,TERRITORIAL,TERRITORIAL DEPARTAMENTAL DESCENTRALIZADO,Otro Tipo de Contrato,NARIÑO - EMPRESA ObraS SANITARIAS DE PASTO,Nariño,Pasto,1,,15000000000,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-4-9858978 ,0,,0,,,0,,,1,,Pesos (COP),Ceros adicionales
16-4-5671864-5165882,TERRITORIAL,TERRITORIAL DEPARTAMENTAL DESCENTRALIZADO,Suministro,CALDAS - INDUSTRIA LICORERA DE CALDAS,Caldas,Manizales,1,2500000000.00,34438000000,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=16-4-5671864,0,,0,,,0,,,1,,Pesos (COP),Ceros adicionales
15-12-3769724-3521466,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 1,Compraventa,RISARALDA - INSTITUTO DE FOMENTO Y DESARROLLO DE PEREIRA - INFIPEREIRA,Risaralda,Pereira,1,,12500000000,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-12-3769724,0,,1,Agregación de ceros,12500000,0,,,1,,Pesos (COP),Ceros adicionales
