uid,nombre_entidad,dpto_entidad,munp_entidad,orden_entidad,tipo_contrato,tipo_proceso,valor_contrato_reg,ruta_web,error_valor_estimado,tipo_error_valor_estimado,error_valor_contrato,tipo_error_valor_contrato,valor_contrato_real,error_adicion,tipo_error_adicion,tipo_consulta
CO1.PCCNTR.878014,SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR OCCIDENTE ESE.,Distrito Capital de Bogotá,No Definido,Territorial,Prestación de servicios,Contratación régimen especial,"$43,312,979.00 ",https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.767962&isFromPublicArea=True&isModal=true&asPopupView=true,0,,0,,,0,,Adiciones altas y bajas
CO1.PCCNTR.876383,SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR OCCIDENTE ESE.,Distrito Capital de Bogotá,No Definido,Territorial,Prestación de servicios,Contratación régimen especial,"$43,312,690.00 ",https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.768720&isFromPublicArea=True&isModal=true&asPopupView=true,0,,0,,,0,,Adiciones altas y bajas
CO1.PCCNTR.880613,SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR OCCIDENTE ESE.,Distrito Capital de Bogotá,No Definido,Territorial,Prestación de servicios,Contratación régimen especial,"$40,775,689.00 ",https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.768711&isFromPublicArea=True&isModal=true&asPopupView=true,0,,0,,,0,,Adiciones altas y bajas
CO1.PCCNTR.875127,SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR OCCIDENTE ESE.,Distrito Capital de Bogotá,No Definido,Territorial,Prestación de servicios,Contratación régimen especial,"$35,492,345.00 ",https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.767971&isFromPublicArea=True&isModal=true&asPopupView=true,0,,0,,,0,,Adiciones altas y bajas
CO1.PCCNTR.877605,SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR OCCIDENTE ESE.,Distrito Capital de Bogotá,No Definido,Territorial,Prestación de servicios,Contratación régimen especial,"$35,492,344.00 ",https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.767971&isFromPublicArea=True&isModal=true&asPopupView=true,0,,0,,,0,,Adiciones altas y bajas
CO1.PCCNTR.874725,SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR OCCIDENTE ESE.,Distrito Capital de Bogotá,No Definido,Territorial,Prestación de servicios,Contratación régimen especial,"$35,492,344.00 ",https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.767971&isFromPublicArea=True&isModal=true&asPopupView=true,0,,0,,,0,,Adiciones altas y bajas
CO1.PCCNTR.880641,SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR OCCIDENTE ESE.,Distrito Capital de Bogotá,No Definido,Territorial,Prestación de servicios,Contratación régimen especial,"$35,492,344.00 ",https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.767856&isFromPublicArea=True&isModal=true&asPopupView=true,0,,0,,,0,,Adiciones altas y bajas
CO1.PCCNTR.882212,SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR OCCIDENTE ESE.,Distrito Capital de Bogotá,No Definido,Territorial,Prestación de servicios,Contratación régimen especial,"$35,492,344.00 ",https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.767971&isFromPublicArea=True&isModal=true&asPopupView=true,0,,0,,,0,,Adiciones altas y bajas
CO1.PCCNTR.887325,SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR OCCIDENTE ESE.,Distrito Capital de Bogotá,No Definido,Territorial,Prestación de servicios,Contratación régimen especial,"$35,492,344.00 ",https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.768711&isFromPublicArea=True&isModal=true&asPopupView=true,0,,0,,,0,,Adiciones altas y bajas
CO1.PCCNTR.882332,SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR OCCIDENTE ESE.,Distrito Capital de Bogotá,No Definido,Territorial,Prestación de servicios,Contratación régimen especial,"$35,492,340.00 ",https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.768711&isFromPublicArea=True&isModal=true&asPopupView=true,0,,0,,,0,,Adiciones altas y bajas
